"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","N.INSPECTIONS"
40364389,"OLD TOWN BAR & RESTAURANT","MANHATTAN","45","EAST   18 STREET",10003,"2125296732","American ",5
40364404,"POLISH NATIONAL HOME","BROOKLYN","261","DRIGGS AVENUE",11222,"7183875252","Polish",5
40364439,"SEVILLE RESTAURANT","MANHATTAN","62","CHARLES STREET",10014,"2129293189","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8
40364443,"CRIMINAL COURT BLDG CAFETERIA","MANHATTAN","100","CENTRE STREET",10013,"2129621037","American ",4
40364449,"GOTTSCHEER HALL","QUEENS","657       ","FAIRVIEW AVENUE                                                                                     ",11385,"7183663030","German",8
40364467,"NYAC MAIN DINING ROOM","MANHATTAN","180       ","CENTRAL PARK SOUTH                                                                                  ",10019,"2127677000","American ",12
40364518,"7B BAR","MANHATTAN","108","AVENUE B",10009,"2126776742","American ",9
40364529,"BEN-BEST DELI & RESTAURANT","QUEENS","96-40","QUEENS BOULEVARD",11374,"7188971700","Jewish/Kosher",9
40364531,"CAFE ATELIER (ART STUDENTS LEAGUE)","MANHATTAN","215","WEST 57 STREET",10019,"2122474510","American ",9
40364572,"DONOHUE'S STEAK HOUSE","MANHATTAN","845       ","LEXINGTON AVENUE                                  ",10065,"2127440938","Steak",9
40364576,"TOUT VA BIEN","MANHATTAN","311       ","WEST   51 STREET                                                                                    ",10019,"2122650190","French",15
40364581,"JUNIOR'S","BROOKLYN","386       ","FLATBUSH AVENUE EXTENSION                                                                           ",11201,"7188525257","American ",6
40364610,"GREAT KILLS YACHT CLUB","STATEN ISLAND","37","MANSION AVE",10308,"7189489615","American ",4
40364668,"MARCHIS RESTAURANT","MANHATTAN","251       ","EAST   31 STREET                                                                                    ",10016,"2126792494","Italian",8
40364681,"TOWNE CAFE","BROOKLYN","2602","EAST   15 STREET",11235,"7186469827","American ",9
40364691,"DINING ROOM","MANHATTAN",".         ","ALLEN TRIPO                                                                                         ",10075,"2127341468","Continental",8
40364715,"OLD HOMESTEAD","MANHATTAN","56","9 AVENUE",10011,"2122429040","American ",8
40364744,"NEW PARK PIZZERIA & RESTAURANT","QUEENS","156-71","CROSSBAY BOULEVARD",11414,"7186413082","Pizza/Italian",6
40364858,"DOUGLASTON CLUB","QUEENS","600       ","WEST DRIVE                                        ",11363,"7182293900","American ",9
40364863,"SERENDIPITY 3","MANHATTAN","225","EAST   60 STREET",10022,"2128383531","American ",6
40364889,"MELODY LANES","BROOKLYN","461       ","37 STREET                                                                                           ",11232,"7188322695","American ",7
40364920,"RIZZO'S FINE PIZZA","QUEENS","30-13","STEINWAY STREET",11103,"7187219862","Pizza",7
40364956,"THE NEW STARLING ATHLETIC CLUB OF THE BRONX","BRONX","2222      ","HAVILAND AVENUE                                                                                     ",10462,"7188229004","American ",9
40364958,"WHITE HORSE TAVERN","MANHATTAN","567       ","HUDSON STREET                                                                                       ",10014,"2129893956","American ",8
40365013,"CRYSTAL ROOM","STATEN ISLAND","67","OLYMPIA BOULEVARD",10305,"7184478926","Italian",5
40365022,"LABETTI'S POST # 2159","STATEN ISLAND","390","HYLAN BOULEVARD",10305,"7184429312","American ",5
40365043,"SHELL LANES","BROOKLYN","1","BOUCK COURT",11223,"7183366700","American ",9
40365075,"MCSORLEY'S OLD ALE HOUSE","MANHATTAN","15","EAST    7 STREET",10003,"2122542570","Irish",10
40365098,"FORLINIS RESTAURANT","MANHATTAN","93        ","BAXTER STREET                                                                                       ",10013,"2123496779","Italian",10
40365120,"SOUTH SHORE SWIMMING CLUB","STATEN ISLAND","6736      ","HYLAN BOULEVARD                 ",10309,"7182274285","American ",5
40365166,"CORNER BISTRO","MANHATTAN","331       ","WEST    4 STREET                                                                                    ",10014,"2122429502","American ",6
40365226,"NOSTRAND DONUT SHOP","BROOKLYN","1449      ","NOSTRAND AVENUE                                                                                     ",11226,"7188263008","Donuts",11
40365239,"DORRIAN'S RED HAND RESTAURANT","MANHATTAN","1616","2 AVENUE",10028,"2127726660","Irish",7
40365264,"LA GRENOUILLE","MANHATTAN","3         ","EAST   52 STREET                                                                                    ",10022,"2127521495","French",3
40365280,"COMO PIZZA","MANHATTAN","4035      ","BROADWAY                                                                                            ",10032,"2129287867","Pizza",7
40365288,"KEATS RESTAURANT","MANHATTAN","842","2 AVENUE",10017,"2126825490","American ",8
40365293,"ANGELO OF MULBERRY ST.","MANHATTAN","146       ","MULBERRY STREET                                                                                     ",10013,"2129661277","Italian",8
40365348,"PANCHITO'S","MANHATTAN","103","MACDOUGAL STREET",10012,"2124735239","Mexican",8
40365355,"NEW CORNER","BROOKLYN","7201      ","8 AVENUE                                                                                            ",11228,"7188330800","Italian",7
40365361,"Princeton Club","MANHATTAN","15","WEST   43 STREET",10036,"2125961272","American ",10
40365387,"ARTURO'S","MANHATTAN","106       ","WEST HOUSTON STREET                                                                                 ",10012,"2126773820","Italian",9
40365414,"LE PERIGORD","MANHATTAN","405       ","EAST   52 STREET                                                                                    ",10022,"2127556244","French",12
40365423,"REYNOLD'S BAR","MANHATTAN","4241","BROADWAY",10033,"2129238927","American ",16
40365454,"JOE & PAT'S PIZZERIA","STATEN ISLAND","1758","VICTORY BOULEVARD",10314,"7189810887","Pizza/Italian",12
40365472,"SPAIN RESTAURANT & BAR","MANHATTAN","113       ","WEST   13 STREET                                                                                    ",10011,"2129299580","Spanish",8
40365473,"PALACE CAFE","BROOKLYN","206","NASSAU AVENUE",11222,"7183839848","American ",6
40365499,"YANKEE TAVERN","BRONX","72        ","EAST  161 STREET                                                                                    ",10451,"7182926130","American ",18
40365525,"DONUT PUB","MANHATTAN","203       ","WEST   14 STREET                                  ",10011,"2129290126","Donuts",9
40365526,"MORAN'S CHELSEA","MANHATTAN","146","10 AVENUE",10011,"2126273030","Irish",6
40365546,"REBEN LUNCHEONETTE","BROOKLYN","229","HAVEMEYER STREET",11211,"7183887696","American ",10
40365577,"V & T RESTAURANT","MANHATTAN","1024","AMSTERDAM AVENUE",10025,"2126668051","Italian",8
40365592,"KING YUM RESTAURANT","QUEENS","181-08","UNION TURNPIKE",11366,"7183801918","Chinese",15
40365627,"JAHN'S RESTAURANT","QUEENS","8104      ","37 AVENUE                                                                                           ",11372,"7186510700","American ",10
40365632,"J&V FAMOUS PIZZA","BROOKLYN","6322      ","18 AVENUE                                                                                           ",11204,"7182322700","Pizza",9
40365633,"LA PARISIENNE DINER","MANHATTAN","910       ","SEVENTH AVENUE                                    ",10019,"2127654590","American ",14
40365644,"JOE ALLEN RESTAURANT","MANHATTAN","326","WEST 46 STREET",10036,"2125816464","American ",7
40365692,"JOYCE'S TAVERN","STATEN ISLAND","3823      ","RICHMOND AVENUE                                                                                     ",10312,"7189849699","American ",5
40365709,"IL VAGABONDO RESTAURANT","MANHATTAN","351       ","EAST   62 STREET                                  ",10065,"2128329221","Italian",7
40365726,"BARBETTA RESTAURANT","MANHATTAN","319321    ","323 W. 46TH ST.                                                                                     ",10036,"2122469171","Italian",6
40365784,"GARGIULO'S RESTAURANT","BROOKLYN","2911      ","WEST   15 STREET                                  ",11224,"7182664891","Italian",7
40365789,"PATSY'S ITALIAN RESTAURANT","MANHATTAN","236","WEST   56 STREET",10019,"2122473491","Italian",7
40365841,"PARKSIDE RESTAURANT","QUEENS","10701     ","CORONA AVENUE                                                                                       ",11368,"7182719871","Italian",7
40365844,"LAVELLE'S ADMIRAL'S CLUB","QUEENS","45-15","BROADWAY",11103,"7187212764","American ",8
40365871,"NEARY'S PUB","MANHATTAN","358","EAST 57 STREET",10022,"2127511434","American ",9
40365882,"NEW YORK PIZZA SUPREMA","MANHATTAN","413","8 AVENUE",10001,"2125948939","Pizza",11
40365893,"MCDWYERS PUB","BRONX","331       ","EAST  204 STREET                                  ",10467,"3474270519","Irish",9
40365904,"MEE SUM COFFEE SHOP","MANHATTAN","26        ","PELL STREET                                                                                         ",10013,"2123495260","Café/Coffee/Tea",12
40365938,"NANCY'S FIRE SIDE","QUEENS","25541     ","JAMAICA AVENUE                                                                                      ",11001,"7183434616","American ",9
40365942,"HOP KEE RESTAURANT","MANHATTAN","21        ","MOTT STREET                     ",10013,"2129648365","Chinese",11
40365968,"NANCY WHISKEY PUB","MANHATTAN","1","LISPENARD STREET",10013,"2122269943","American ",11
40365972,"BLARNEY BAR","QUEENS","146-09","JAMAICA AVENUE",11435,"7186583406","American ",7
40366002,"MARGHERITA PIZZA","QUEENS","16304     ","JAMAICA AVENUE                                                                                      ",11432,"7186575780","Pizza",7
40366054,"HEALY'S PUB","QUEENS","10807     ","ROCKAWAY BEACH BOULEVARD                                                                            ",11694,"7184749600","American ",8
40366109,"FIFTH AVENUE BINGO","BROOKLYN","416       ","5 AVENUE                                                                                            ",11215,"7187881691","American ",8
40366132,"DENINO'S PIZZERIA TAVERN","STATEN ISLAND","524       ","PORT RICHMOND AVENUE                                                                                ",10302,"7184429401","Pizza/Italian",5
40366154,"MICHAEL'S RESTAURANT","BROOKLYN","2929      ","AVENUE R                                                                                            ",11229,"7189987851","Italian",11
40366157,"NANNI RESTAURANT","MANHATTAN","146","EAST   46 STREET",10017,"2126974161","Italian",15
40366162,"LENIHAN'S SALOON","QUEENS","119-09","ATLANTIC AVENUE",11418,"7188469770","American ",9
40366214,"EMILIO III BAR","QUEENS","4218      ","JUNCTION BOULEVARD                                                                                  ",11368,"9176340800","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9
40366222,"KILLARNEY ROSE","MANHATTAN","80        ","BEAVER STREET                                                                                       ",10005,"2124221486","Irish",6
40366230,"DON PEPPE","QUEENS","13558     ","LEFFERTS BOULEVARD                                                                                  ",11420,"7188457587","Italian",6
40366284,"3 STAR COFFEE SHOP","MANHATTAN","541","COLUMBUS AVENUE",10024,"2128746780","American ",17
40366356,"BLARNEY CASTLE","QUEENS","202-24","ROCKAWAY POINT BOULEVARD",11697,"7186344503","American ",9
40366361,"THREE STAR RESTAURANT","BROOKLYN","1611      ","AVENUE U                                                                                            ",11229,"7183364195","American ",8
40366379,"BLARNEY ROCK","MANHATTAN","137       ","WEST   33 STREET                                                                                    ",10001,"2129470825","Irish",10
40366381,"DANGERFIELD'S NIGHT CLUB","MANHATTAN","1118      ","1 AVENUE                                                                                            ",10065,"2125931650","American ",7
40366396,"DESMOND'S TAVERN","MANHATTAN","433       ","PARK AVENUE SOUTH                                                                                   ",10016,"2126849472","American ",14
40366425,"NAOMI KOSHER PIZZA","QUEENS","6828      ","MAIN STREET                                                                                         ",11367,"7185208754","Jewish/Kosher",8
40366471,"ROLL-N-ROASTER","BROOKLYN","2901","EMMONS AVENUE",11235,"7187696000","American ",8
40366473,"TIO PEPE","MANHATTAN","168","WEST    4 STREET",10014,"2122429338","Spanish",6
40366487,"BRENNAN & CARR","BROOKLYN","3432      ","NOSTRAND AVENUE                                                                                     ",11229,"7187691254","American ",7
40366497,"THE PUNCH BOWL","BRONX","5820      ","BROADWAY                                                                                            ",10463,"7188847322","American ",14
40366543,"JARDIN DE CHINA REST","QUEENS","37-37","JUNCTION BOULEVARD",11368,"7184763755","Chinese",14
40366549,"IRISH COTTAGE","QUEENS","108-07","72 AVENUE",11375,"7185208530","Irish",10
40366574,"BLARNEY STONE","MANHATTAN","11","TRINITY PLACE",10006,"2122694988","Irish",18
40366586,"SHIMONS KOSHER PIZZA","QUEENS","71-24","MAIN STREET",11367,"7187931491","Jewish/Kosher",11
40366643,"THE RIVIERA CAFE","MANHATTAN","225       ","WEST    4 STREET                                                                                    ",10014,"2129293250","American ",8
40366652,"FASCATI'S PIZZERIA","BROOKLYN","80        ","HENRY STREET                                                                                        ",11201,"7182371278","Pizza/Italian",5
40366661,"BABY BO'S BURRITOS","MANHATTAN","627","2 AVENUE",10016,"2127792656","Tex-Mex",6
40366711,"LI GRECI'S STAATEN RESTAURANT","STATEN ISLAND","697       ","FOREST AVENUE                                                                                       ",10310,"7184486000","American ",11
40366716,"SHUN LEE PALACE RESTAURANT","MANHATTAN","155       ","EAST   55 STREET                                                                                    ",10022,"2123718844","Chinese",5
40366742,"TAMAQUA","BROOKLYN","84        ","EBONY COURT                                                                                         ",11229,"7186469212","American ",5
40366748,"MUNCHTIME","BRONX","21        ","EAST  170 STREET                                                                                    ",10452,"7189927347","American ",11
40366773,"BURGER HEAVEN","MANHATTAN","9","EAST 53 STREET",10022,"2127520340","Hamburgers",11
40366812,"CARA MIA","QUEENS","220-20","HILLSIDE AVENUE",11427,"7187409118","Italian",8
40366833,"IHOP","BRONX","4340      ","BOSTON ROAD                                                                                         ",10475,"7183256664","Pancakes/Waffles",10
40366857,"MALONEY'S BAR","QUEENS","8769      ","SUTPHIN BOULEVARD                                                                                   ",11435,"3472334472","American ",6
40366879,"LA FUSTA RESTAURANT","QUEENS","80-32","BAXTER AVENUE",11373,"7184298222","Spanish",12
40366928,"RICHMOND COUNTY COUNTRY CLUB","STATEN ISLAND","135","FLAGG PLACE",10304,"7183510600","American ",10
40366929,"LITTLE BROWN JUG","QUEENS","12402     ","JAMAICA AVENUE                                                                                      ",11418,"7188469609","American ",9
40366938,"LULU'S COFFEE SHOP","BRONX","1191      ","CASTLE HILL AVENUE                                                                                  ",10462,"7188223568","Café/Coffee/Tea",7
40366961,"MITCHELL'S RESTAURANT","BROOKLYN","617       ","VANDERBILT AVENUE                                                                                   ",11238,"7187893212","Soul Food",9
40366987,"EL CHARRO ESPANOL","MANHATTAN","4         ","CHARLES STREET                                                                                      ",10014,"2122429547","Spanish",10
40366993,"FINNEGAN'S WAKE","MANHATTAN","1361      ","FIRST AVENUE                                      ",10021,"2127373664","American ",6
40367005,"DA VINCI PIZZA","BROOKLYN","6514      ","18 AVENUE                                                                                           ",11204,"7182325855","Pizza/Italian",8
40367038,"MEXICO LINDO RESTAURANT","MANHATTAN","459","2 AVENUE",10010,"2126793665","Mexican",8
40367161,"MARINA DELRAY","BRONX","2894","SCHURZ AVE",10465,"7189316500","American ",7
40367164,"NEW FLORIDIAN DINER","BROOKLYN","2301","FLATBUSH AVENUE",11234,"7183771895","American ",16
40367179,"TWINS PUB","MANHATTAN","421       ","9 AVENUE                                                                                            ",10001,"2126431688","Irish",7
40367183,"NARROWS COFFEE SHOP","BROOKLYN","10001     ","4 AVENUE                                                                                            ",11209,"7188339281","American ",5
40367189,"BROOME STREET BAR","MANHATTAN","363       ","WEST BROADWAY                                                                                       ",10013,"2129252086","American ",6
40367232,"O'HANLON'S PUB","QUEENS","22-57","31 STREET",11105,"7187289619","Irish",10
40367240,"CHARLIES SPORTS BAR","QUEENS","4408      ","60TH ST. - STORE                                                                                    ",11377,"7184781903","American ",4
40367241,"JG MELON RESTAURANT","MANHATTAN","1291      ","3 AVENUE                                                                                            ",10021,"2127440585","American ",8
40367278,"JACK'S PIZZA & PASTA","QUEENS","21249     ","26 AVENUE                                                                                           ",11360,"7184235484","Pizza/Italian",8
40367329,"EMERALD PUB","MANHATTAN","308","SPRING STREET",10013,"2122268512","American ",12
40367338,"TAP ROOM","MANHATTAN","180       ","CENTRAL PARK SOUTH                                                                                  ",10019,"2127677085","American ",4
40367339,"COCKTAIL ROOM (NYAC)","MANHATTAN","180       ","CENTRAL PARK SOUTH                                                                                  ",10019,"2127677000","American ",8
40367365,"FLAME RESTAURANT COFFEE HOUSE","MANHATTAN","893       ","9 AVENUE                                                                                            ",10019,"2127657562","American ",10
40367373,"JACKSON HOLE","MANHATTAN","232       ","EAST   64 STREET                                  ",10065,"2123717187","American ",6
40367377,"ZUM STAMMTISCH","QUEENS","6946      ","MYRTLE AVENUE                                                                                       ",11385,"7183863014","German",12
40367407,"JOHN'S RESTAURANT","MANHATTAN","302","EAST 12 STREET",10003,"2124759531","Italian",5
40367420,"GRASSROOT TAVERN","MANHATTAN","20","ST MARKS PLACE",10003,"2122602876","American ",11
40367442,"BUDDY'S WONDER BAR","STATEN ISLAND","17        ","HARRISON AVENUE                                                                                     ",10302,"7184429768","American ",9
40367481,"THE ASSEMBLY BAR","QUEENS","7302      ","COOPER AVENUE                                                                                       ",11385,"7188219359","American ",7
40367534,"MR BROADWAY KOSHER RESTAURANT","MANHATTAN","1372","BROADWAY",10018,"2129212152","Jewish/Kosher",10
40367540,"PICCOLA VENEZIA","QUEENS","42-01","28 AVENUE",11103,"7187218470","Italian",14
40367544,"MALAGA RESTAURANT","MANHATTAN","406","EAST 73 STREET",10021,"2127377659","Spanish",11
40367570,"NI-NI'S CAFE","STATEN ISLAND","710       ","NEW DORP LANE                                                                                       ",10306,"7183519024","Italian",7
40367677,"CAPITOL RESTAURANT","MANHATTAN","4933","BROADWAY",10034,"2129425090","American ",10
40367715,"LA BONNE SOUPE BISTRO","MANHATTAN","48        ","WEST   55 STREET                                  ",10019,"2125867650","French",10
40367728,"MIMIS RESTAURANT & BAR","MANHATTAN","984       ","SECOND AVENUE                                                                                       ",10022,"2126884692","Italian",6
40367749,"LENNY'S CLAM BAR","QUEENS","16103     ","CROSSBAY BOULEVARD                                                                                  ",11414,"7188455100","Seafood",9
40367752,"GRIFFIS FACULTY CLUB","MANHATTAN","521       ","EAST   68 STREET                                  ",10065,"2127466100","American ",5
40367766,"GRAY'S PAPAYA","MANHATTAN","2080      ","BROADWAY                                                                                            ",10023,"2127990243","Hotdogs",10
40367789,"DANI PIZZA AND RESTAURANT","QUEENS","81-28","LEFFERTS BOULEVARD",11415,"7188462849","Pizza",7
40367790,"MCDONALD'S","BROOKLYN","943       ","FLATBUSH AVENUE                                                                                     ",11226,"7186935353","Hamburgers",7
40367795,"EL GRECO DINER","BROOKLYN","1821      ","EMMONS AVENUE                                                                                       ",11235,"7189341288","Greek",9
40367797,"ONE IF BY LAND TWO IF BY SEA","MANHATTAN","17","BARROW STREET",10014,"2122558649","Seafood",10
40367829,"MCDONALD'S","QUEENS","75-50","101 AVENUE",11416,"7188451010","Hamburgers",14
40367841,"FIORELLOS","MANHATTAN","1900","BROADWAY",10023,"2125955330","Italian",7
40367860,"LB SPUMONI GARDENS","BROOKLYN","2725      ","86 STREET                                                                                           ",11223,"7184491230","Pizza/Italian",13
40367870,"AMORE PIZZERIA & RESTAURANT","QUEENS","30-27","STRATTON STREET",11354,"7184450579","Pizza/Italian",10
40367946,"THE LARK'S NEST","BRONX","4280      ","KATONAH AVE                                                                                         ",10470,"3472028233","Not Listed/Not Applicable",4
40368018,"TERRACE CAFE","BRONX","2300","SOUTHERN BOULEVARD",10460,"7182205069","Café/Coffee/Tea",3
40368021,"AFRICAN TERRACE","BRONX","2300","SOUTHERN BOULEVARD",10460,"7182207937","African",4
40368022,"COOL ZONE","BRONX","2300","SOUTHERN BOULEVARD",10460,"7182205069","American ",4
40368025,"BEAVER POND","BRONX","2300","SOUTHERN BOULEVARD",10460,"7182207731","American ",4
40368026,"AFRICAN MARKET (BABOON CAFE)","BRONX","2300","SOUTHERN BOULEVARD",10460,"7187336858","American ",4
40368034,"ROADHOUSE RESTAURANT","STATEN ISLAND","1402","CLOVE ROAD",10301,"7184470033","Italian",7
40368065,"FORD FOUNDATION CAFETERIA","MANHATTAN","320","EAST 43 STREET",10017,"2125734648","American ",8
40368157,"ELEPHANT & CASTLE","MANHATTAN","68","GREENWICH AVENUE",10011,"2122431400","American ",7
40368207,"MILL BASIN KOSHER DELI","BROOKLYN","5823","AVENUE T",11234,"7182414910","Jewish/Kosher",5
40368223,"OYSTER BAR","MANHATTAN","          ","GRAND CENTRAL TERMINAL                            ",10017,"2124906650","Seafood",12
40368271,"CHERRY TAVERN","MANHATTAN","441","EAST    6 STREET",10009,"2127771448","American ",12
40368291,"COLONNADE DINER","STATEN ISLAND","2001      ","HYLAN BOULEVARD                                                                                     ",10306,"7183512900","American ",9
40368313,"RED FLAME DINER","MANHATTAN","67        ","WEST   44 STREET                                                                                    ",10036,"2128693965","American ",5
